Entidad,Municipio,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Produccion,Rendimiento,Anio,Mes,Cultivo
Jalisco,Amacueca,77.43,0.00,0.00,0.00,0,2019,6,6
Jalisco,Amatitán,"1,545.00",155.00,0.00,"14,889.00",96.06,2019,6,6
Jalisco,Ameca,480.00,30.00,0.00,"2,950.00",98.33,2019,6,6
Jalisco,San Juanito de Escobedo,673.00,110.00,0.00,"9,300.00",84.55,2019,6,6
Jalisco,Arandas,"12,505.00",842.00,0.00,"73,981.00",87.86,2019,6,6
Jalisco,El Arenal,327.00,45.00,0.00,"4,175.00",92.78,2019,6,6
Jalisco,Atengo,425.00,68.60,0.00,"4,987.54",72.70,2019,6,6
Jalisco,Atenguillo,23.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Atotonilco El Alto,"2,107.00",131.00,0.00,"12,545.80",95.77,2019,6,6
Jalisco,Atoyac,10.83,0.00,0.00,0.00,0,2019,6,6
Jalisco,Autlán de Navarro,724.00,59.36,0.00,"4,647.00",78.29,2019,6,6
Jalisco,Ayotlán,533.00,100.00,0.00,"8,750.00",87.50,2019,6,6
Jalisco,Ayutla,135.00,22.00,0.00,"1,615.36",73.43,2019,6,6
Jalisco,La Barca,681.00,122.00,0.00,"10,929.16",89.58,2019,6,6
Jalisco,Cabo Corrientes,180.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Zapotlán el Grande,170.23,4.00,0.00,263.06,65.76,2019,6,6
Jalisco,Cocula,366.00,63.00,0.00,"5,830.00",92.54,2019,6,6
Jalisco,Colotlán,18.40,18.40,0.00,"1,604.35",87.19,2019,6,6
Jalisco,Cuquío,744.00,110.00,0.00,"9,159.70",83.27,2019,6,6
Jalisco,Chapala,31.00,7.00,0.00,627.20,89.60,2019,6,6
Jalisco,Degollado,435.00,95.00,0.00,"8,770.00",92.32,2019,6,6
Jalisco,Ejutla,33.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Encarnación de Díaz,130.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Etzatlán,331.00,58.00,0.00,"5,200.00",89.66,2019,6,6
Jalisco,El Grullo,110.50,11.00,0.00,838.54,76.23,2019,6,6
Jalisco,Guachinango,118.00,12.00,0.00,"1,085.00",90.42,2019,6,6
Jalisco,Hostotipaquillo,353.00,82.00,0.00,"7,680.00",93.66,2019,6,6
Jalisco,Ixtlahuacán de Los Membrillos,100.00,5.00,0.00,440.00,88.00,2019,6,6
Jalisco,Ixtlahuacán del Río,170.00,27.00,0.00,"2,243.70",83.10,2019,6,6
Jalisco,Jamay,394.00,160.00,0.00,"13,552.60",84.70,2019,6,6
Jalisco,Jesús María,"7,856.00",408.00,0.00,"36,400.69",89.22,2019,6,6
Jalisco,Jocotepec,198.00,11.00,0.00,"1,001.00",91.00,2019,6,6
Jalisco,Juanacatlán,244.00,114.00,0.00,"9,296.26",81.55,2019,6,6
Jalisco,Juchitlán,313.00,58.40,0.00,"4,301.36",73.65,2019,6,6
Jalisco,Lagos de Moreno,45.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,El Limón,384.00,22.90,0.00,"1,685.89",73.62,2019,6,6
Jalisco,Magdalena,685.00,80.00,0.00,"7,700.00",96.25,2019,6,6
Jalisco,Mascota,33.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Mexticacán,172.00,54.42,0.00,"4,832.30",88.80,2019,6,6
Jalisco,Mezquitic,4.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Mixtlán,100.00,10.00,0.00,920.00,92.00,2019,6,6
Jalisco,Ocotlán,268.00,59.00,0.00,"4,965.90",84.17,2019,6,6
Jalisco,Pihuamo,"2,215.00",660.00,0.00,"63,700.00",96.52,2019,6,6
Jalisco,Poncitlán,200.00,79.00,0.00,"6,663.18",84.34,2019,6,6
Jalisco,Villa Purificación,70.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,El Salto,38.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,San Cristóbal de La Barranca,540.00,142.00,0.00,"11,360.00",80.00,2019,6,6
Jalisco,San Diego de Alejandría,960.00,151.12,0.00,"12,025.93",79.58,2019,6,6
Jalisco,San Julián,124.00,29.29,0.00,"2,308.90",78.83,2019,6,6
Jalisco,San Marcos,13.00,2.00,0.00,180.00,90.00,2019,6,6
Jalisco,San Martín de Bolaños,2.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,San Martín Hidalgo,506.00,85.00,0.00,"7,785.00",91.59,2019,6,6
Jalisco,San Miguel El Alto,225.00,0.00,0.00,0.00,0,2019,6,6
Jalisco,Gómez Farías,378.63,11.55,0.00,866.56,75.03,2019,6,6
Jalisco,San Sebastián del Oeste,83.00,5.00,0.00,480.00,96.00,2019,6,6
Jalisco,Sayula,450.00,30.00,0.00,"2,014.75",67.16,2019,6,6
Jalisco,Tala,416.00,89.00,0.00,"8,100.00",91.01,2019,6,6
